,0
0,Assembly 00H6016
1,BEARING HOUSING ASSY 19 EXH TRICO
2,DOWEL PIN HDND .375 X 1.25 STL
3,HHCS 5/8-11UNC-2A X 1.50 GR8
4,CAP BRG HOUSING EXH
5,BRG HSG EXHCAP A4631-1 A48 CL30
6,BRG HOUSING LWR EXH
7,HSGBRG LOWEXH A4630-1 A48 CL30
8,BEARING HOUSING ASSY 19 INL TRICO
9,CAP BRG HOUSING INLET
10,BRG HSG INLCAP A4628-1 A48 CL30
11,LWR BRG HOUSING INLET
12,HSGBRG LOWINL A4627-1 A48 CL30
13,4PC A19 LH 202 150FF03
14,HDWARE 2PC 19 202 B7 LH
15,HHCS 5/8-11UNC-2A X 2.50 B7
16,HHCS 5/8-11UNC-2A X 3.50 B7
17,DOWEL PIN .375 X 1.50 LG STL
18,HDWARE PEDESTAL 19 STD
19,NUT HEX 3/4-10UNC-2B GR8
20,STUD 0.75-10 X 4.00
21,THD ROD 0.750 - 10 UNC-2A CFS
22,STUD 0.75-10X5.50
23,HDWARE 3PC 19 202 B7
24,PIPE PLUG .75 SQ HD  304 SST
25,PED MTG RLH19 A4675 CI 48 CL30
26,CSG EXH 19 LH HP2 WCB SA5604B
27,COV 19 HP2 WCB SA5056BR
28,CSG INL 19 HP2 WCB SA5057B
29,HANDVALVE ASSY H19-28
30,PACKING SET HANDVALVE API
31,DOWEL PIN .250 X 1.75 LG STL
32,HANDVALVE BODY RLH
33,HEXAGON STK 3.000 CDS
34,HANDVALVE STEM RLH
35,ROUND STK 1.250 SST
36,PACKING NUT HV 1-3/4 API
37,HEXAGON STK 2.000 CFS
38,HANDVALVE PLUG RLH
39,ROUND STK 2.125 SST
40,HANDVALVE WASHER PACKING API
41,ROUND STK 1.500 SST
42,SECTOR ASSY 19 .56 NOZ
43,PIN SPIROL HVY 1/8 X .312LG HCP
44,SCTR RING MACH 19
45,SCTR RING MACH SPNC 19
46,SECTOR RING BLANK
47,BUCKET BRO .56 SPNC STA 403SS
48,BKT STOCK SPNC 403 SS
49,SHROUD BAND SECTOR 19 BRCH
50,SHROUD BAND STK .06X.750 410HT
51,SHROUD BAND STK .063 +/-.002 X .750 410
52,SPACER RLH SEGMENT
53,MOUNTING HOUSING DD SOL TRIP PICKUP
54,BEARING FLANGE - SEALMASTER SFT9
55,RESET HANDLE KEY.12SQ X .75LG
56,GROOVE PIN DRIVLOK 3/16
57,SPRING COMP C-0300-022-1250S SS
58,PLUG HOLE 1 7/16 DIA D3839
59,TORSION SPRING S/T
60,HHCS 3/8-16UNC-2A X 1.00 GR5
61,BEARING CLAPPER VALVE
62,ROLL PIN 3/16 X 7/8 SS
63,SHSS CUP PT 1/4-20 X 1/2
64,SHSS CUP 1/2-13 X .38 STL
65,WASHER 9/16 SAE
66,COTTER PIN 3/32 X .75 STL
67,O/S TRIP SHAFT COMBO III
68,ROUND STK 0.562/0.561 CG  SST
69,HANDLE O/S COMBO III
70,FLAT STK 0.500 X 1.250 CFS
71,TRIP LEVER PIN
72,ROUND STK 0.3125 SST
73,MOUNTING HOUSING DD COMBO TRIP
74,HSG MTG A5049 CI A28 CL30
75,TRIP LEVER
76,LEVER TRP SILICON BRS B584-875
