Раздел,Метрика,Значение
Общие метрики,Всего записей,649253
Общие метрики,Всего столбцов,11
Общие метрики,Пропущенные значения,62
Общие метрики,Дубликаты строк,0
Общие метрики,Дубликаты по ключу,68826
Структурные метрики,Уникальных material_id,1884
Структурные метрики,Уникальных component_id,15751
Структурные метрики,Максимальный уровень,9
Структурные метрики,Корневых узлов,0
Структурные метрики,Листьев,13867
Качественные метрики,Средняя длина описания,4.9 слов
Качественные метрики,Описания с техническими паттернами,0.8%
Качественные метрики,Самоссылки,1884
Проблемные области,Нулевые отрицательные qty,0
Проблемные области,Циклические зависимости,0 в путях
Проблемные области,Несогласованность level path,645641
Проблемные области,Выбросы в qty,112545
